,acronym,meaning_wiktionary,meaning_pdf,meaning_any
3954,"פקמ""ב",,['פקודת מבצע ]ראו גם ]OPORD'],True
3955,"פקמ""ז",,['פיקוד המרכז'],True
3956,"פקמ""ס",,['פקודת משימה לסיוע'],True
3957,"פקמ""ץ",,['פקיד מבצעים'],True
3958,"פקמ""ש",,"['פיקוח משפטי;', 'פקודת משימה ]ראו גם ;]MTO', 'פקודת המשטרה פקס פקסימיליה']",True
3959,"פקס""ג",,['פיקסל גאוגרפי'],True
3960,"פקס""ם",,['פקודת הסמים המסוכנים '],True
3961,"פק""ע",,['פקודת עבודה '],True
3962,"פק""ק",,['פקודת קבע 178'],True
3963,"פ""ר",,"['פקודת רכש ]הגו: פא־ריש; אל תקצרו בנקודות: פ.ר', 'פקיד ראשי  פרו פרופיל']",True
3964,"פר""ח",,"['פריסה חדשה;', 'פרט , רווחה, חינוך;', 'פרויקט חונכות ;', 'פניות רפואה חילית']",True
3965,"פר""ט",,['ראו: PERT'],True
3966,"פרי""ק",,['פריצה קרה'],True
3967,"פרמ""ם",,"['פלוגת רפואה מטכ""לית מוטסת']",True
3968,"פר""ן",,['פירוז נשק'],True
3969,"פר""צ",,['פרקליט צבאי ]ראו גם ]SJA'],True
3970,"פר""ק",,"['פורום ראשי קש""ח ']",True
3971,"פרקמ""ש",,['פרק המשימה'],True
3972,"פרק""צ",,['פרק צבאי'],True
3973,"פרשני""ת",,"[' פיזי, ראייה, שמיעה,  נפשי, ידיים, גפיים( תחתונים ]רכיבי בריאות לכושרו הגופני והנפשי של חייל']",True
3974,"פ""ש",,"['פעילויות שיפור;', 'פרשת השבוע;', 'פיתוח שטח']",True
3975,"פש""ב",,['פטור שלא בפניו'],True
3976,"פש""ץ",,['פלוגת שוטרים צבאיים'],True
3977,"פש""ק",,['פלוגת שלישות קדמית פת פתיל ]יש ההוגים: פא־תיו'],True
3978,"פ""ת",,"['פג תוקף ;', 'פתח תקווה']",True
3979,"פת""א",,['פיקוח תעבורה אווירית'],True
3980,"פת""ג",,['פתיל תדירות גבוהה'],True
3981,"פתו""ס",,['פגישת תיאום וסנכרון'],True
3982,"פת""ח",,['התנועה לשחרור פלסטין ]בערבית: אל־חרכה לתחריר פלסטין'],True
3983,"פתח""ש",,['פתיחת שבוע'],True
3984,"פתל""א",,['פלוגת תקשוב לוגיסטית אוגדתית '],True
3985,"פת""ם",,['פתח מילוט'],True
3986,"פתע""ם",,"['פסיפס תצ""א  עדכני מבוקר']",True
3987,"פת""ק",,[' פיקוח תקציבי'],True
3988,"פת""ר",,['פתק תרופה 179'],True
3989,צ/,,"['קידומת למספר האישי של רופא שהוא עולה חדש הזכאי לתנאי קבע בשירות החובה שלו', 'קידומת למספר האישי של קצין שהוא תלמיד ישיבה, הזכאי לתנאי קבע בחלק ממסלול השירות']",True
3990,צ',,"['צבא או צבאי ;', 'צפון או צפוני ;', 'צומת;', 'צוות;', 'גשר צף ;', 'ציר']",True
3991,"צאח""ש",,['צוות אחזקת שדות מוקשים'],True
3992,"צא""פ",,['צו איסור פרסום'],True
3993,"צ""ב",,"['צפיפות בליסטית;', 'צוואר בקבוק;', 'צו ביצוע']",True
3994,"צבא""א",,"['צבא ארה""ב']",True
3995,"צב""ד",,"['צוות בדיקה;', 'ציוד בדיקה']",True
3996,"צב""ה",,['ציוד בטיחות והצלה '],True
3997,"צבה""צ",,['ציוד בטיחות והצלה '],True
3998,"צב""ז",,['צבאות זרים'],True
3999,"צב""ט",,['צו בדבר הוראות ביטחון'],True
4000,"צב""ל",,['צבא לבנון '],True
4001,צ,,['180'],True
4002,"צב""ק",,['ציוד ביטחון קשר'],True
4003,"צב""ר",,"['צעיר, בריא ורענן']",True
4004,"צב""ש",,"['""צבא שמיים"" ]שם קוד להפעלת תוכנית פעולה לשחרור בני ערובה']",True
4005,"צ""ג",,['צו גיוס'],True
4006,"צג""ם",,"['צוות גיוס ראשוני ;', 'צוות גדודי משוריין ']",True
4007,"צגמ""ן",,['צומת גישה למנויים ניידים'],True
4008,"צג""ר",,['צוות גיוס ראשוני '],True
4009,"צד""א",,['ציוד דת אישי'],True
4010,"צד""י",,['ציוד דת יחידתי'],True
4011,"צד""ך",,['ציון דירוג כללי '],True
4012,"צד""ל",,['צבא דרום לבנון'],True
4013,"צדמ""ת",,['ציוד דת מתכלה'],True
4014,"צד""פ",,['ציוד לפרט'],True
4015,"צ""ה",,['ציוד הדפסה '],True
4016,"צה""ן",,['ציוד יחידה הנדסי '],True
4017,"צה""ע",,"['צו התחלת עבודה ]לקבלנים באגף הבינוי במשהב""ט; הגו: צה""ע']",True
4018,"צה""ר",,['ציון השכלה ראשוני '],True
4019,"צהר""ם",,['ציוד הרמה'],True
4020,"צה""ת",,['צו התחלת תכנון'],True
4021,"צו""ב",,['צופן וביטחון'],True
4022,"צוה""ד",,['צורך הדרכתי '],True
4023,"צו""ט",,['צוות טכני'],True
4024,"צו""ם",,['צירים ומכשולים'],True
4025,"צו""ר",,['צופן ורדיו'],True
4026,"צו""ת",,['ציוד ותקציבים'],True
4027,"צ""ח",,['צוללת חדשה'],True
4028,"צח""א",,['ציוד חיל האוויר '],True
4029,"צח""י",,['צוות־חירום יישובי '],True
4030,"צח""ם",,"['צוות חטיבתי משוריין  ] 3-1 הגו: צח""ם', 'צוות חקירה מיוחד;', 'צריכת חמצן מרבית']",True
4031,"צ""ט",,['צוות טכני  181'],True
4032,"צט""ם",,"['צוות טיפול במגפות;', 'צוות טראומה  מושט']",True
4033,"צ""י",,['ציוד ייעודי'],True
4034,"צי""ד",,['ציוד יחידתי ]ראו גם ]UE'],True
4035,"צי""ל",,['ציוד לוגיסטי'],True
4036,"צי""ם",,"['ציוד ימי מבוקר;', 'צי ימי מסחרי']",True
4037,"צי""ס",,['צי הסוחר'],True
4038,"צ""כ",,"['צא כיוון;', 'ציוד כללי ;', 'צעדים כפולים']",True
4039,"צכ""ל",,['ציוד כללי '],True
4040,"צכ""ס",,['צמצום כוחות סדירים'],True
4041,"צכ""ק",,['צוות כירורגי קדמי צל צליחה'],True
4042,"צ""ל",,"['צריך להיות;', 'ציוד לוגיסטי']",True
4043,"צל""א",,['הצלב האדום '],True
4044,"צל""ב",,['צבא לבנון '],True
4045,"צל""ם",,['ציוד לחימה מבוקר '],True
4046,"צלמ""ץ",,['צלם צבאי'],True
4047,"צל""ע",,['צבא לבנון ערבי'],True
4048,"צל""ף",,['ציר להפצות'],True
4049,"צלת""ק",,['צוות לתגובת קרב '],True
4050,"צ""מ",,"['ציוד מגויס;', 'ציוד מוחזר']",True
4051,"צ""ם",,"['מבוקצירו;ד', 'צורך מבצעי;', 'ציוד ממוכן']",True
4052,"צמ""א",,"['ציוד בדיקה אוטומטי ;', 'צוות מחקר  אופרטיבי;', 'צומת מחשבים ארצי;', 'ציוד מגן אישי']",True
4053,"צמא""א",,"[""צומת מחשבים ארצי אלטרנטיבי ]'אלטרנטיבי' בעברית: חלופי""]",True
4054,"צמ""ב",,"['ציון־משוקלל ביניים;', 'ציון מבדק']",True
4055,"צמב""ר",,['צמיג בוער'],True
4056,"צמ""ד",,"['צפון, מרכז, דרום;', 'ציוד מדידה  182']",True
4057,"צמ""ח",,['צוות מחקר'],True
4058,"צמ""ט",,['צינור מוביל  טורפדות ]ראו גם ]TT'],True
4059,"צמל""ע",,['ציוד מכני לעבודות עפר '],True
4060,"צמ""ם",,"['צוות מאמץ מודיעיני;', 'צוות מחקר מיוחד;', 'צוות מודיעין מיוחד']",True
4061,"צמ""ן",,['ציון מטרות נעות'],True
4062,"צמ""ס",,['צוות מחלקה סוללה'],True
4063,"צמ""ע",,['צוות מאמץ עיקרי'],True
4064,"צמ""פ",,"['צוות, מחלקה, פלוגה']",True
4065,"צמק""א",,['צוות מגע קרקע־אוויר '],True
4066,"צמק""ל",,['צומת קשר קדמי למבצעים משולבים'],True
4067,"צמ""ר",,['צוות מענה ראשוני לתרחישי התגוננות'],True
4068,"צמר""ת",,"['צוות מודיעין אוויר רב־תכליתי מטכ""לי']",True
4069,"צמ""ש",,"['ציוד מיוחד לשדה;', 'ציון משוקלל;', 'ציוד משרדי']",True
4070,"צמ""ת",,['צוות מחקר אופרטיבי ותשתיות'],True
4071,"צ""ן",,['ציוד נושא'],True
4072,"צנ""ד",,['צוות נייד'],True
4073,"צנ""ם",,['צוות נון־מם'],True
4074,"צנמ""ם",,['צוות נגד־מטוסים מתנייע ]לרוב הוגים: צוות נון־מם מתנייע'],True
4075,"צנ""פ",,['צינור פליטה'],True
4076,"צנ""ק",,['ציון ניבוי קצונה'],True
4077,"צ""ס",,"['צבא סוריה;', 'צי סוחר']",True
4078,"צס""א",,['צוות סימון אוויר '],True
4079,"צס""ח",,['צבא סוריה החופשי '],True
4080,"צס""ם",,['צוות סיור מודיעין'],True
4081,"צסק""א",,['צוות סימון  קרקע־אוויר '],True
4082,"צ""ע",,"['צבא ערבי;', 'ציוד עבודה;', 'צבאי־עצמי ;', 'צוקי עובדה']",True
4083,"צע""א",,['צוות עזר אווירי'],True
4084,"צע""י",,['הצבא הערבי הירדני '],True
4085,"צע""ם",,['צוות עיבוד מודיעין '],True
4086,"צע""ת",,['צוות עיבוד תמונות צפ צפון או צפוני ]גם צ 183'],True
4087,"צ""פ",,['צוות פיתוח'],True
4088,"צפ""א",,['ציר פיתוח אישי '],True
4089,"צפ""ה",,['צוות פיתוח־הדרכה '],True
4090,"צפ""ם",,"['צוות פלוגתי משוריין )מעורב, משולב, ממוכן', 'צוות פיתוח משימתי;', 'ציוד פרט ומחנה']",True
4091,"צפמ""ז",,['צפון־מזרח'],True
4092,"צפמ""ע",,['צפון־מערב'],True
4093,"צפ""ס",,"['צוות, פלגה, סוללה']",True
4094,"צפ""ע",,['ציור פני העדשה'],True
4095,"צפ""ק",,['צפון קוראה'],True
4096,"צפ""ת",,['ציון פרופיל תעסוקתי'],True
4097,"צ""צ",,['צבאי־צבאי '],True
4098,"צצ""ל",,['ציוד צליחה'],True
4099,"צ""ק",,"['צוות קרקע ;', 'צוות קרב ]ראו גם ;]TF ,CT ,BG', 'צילום קרקע;', 'ציוד קשר;', 'צומת קשר;', 'ציוד קרקע']",True
4100,"צק""א",,"['צומת קשר אוגדתי  ;', 'ציוד קרבי אישי;', 'צוות קדמי אלקטרוניקה;', 'צוות קרקע־אוויר']",True
4101,"צק""ג",,['צוות־קרב גדודי'],True
4102,"צקו""ם",,['ציוד קרקע וכוחות מיוחדים'],True
4103,"צק""ח",,['צוות־קרב חטיבתי'],True
4104,"צק""ם",,['צוות־קרב  משולב'],True
4105,"צק""ס",,"['ציוד קשר סודי;', 'ציוד קווי סופי']",True
4106,"צק""פ",,['צוות-קרב פלוגתי ]ראו גם ]CT'],True
4107,"צק""ק",,"['ציוד קשר־קווי;', 'צומת־קשר קדמי']",True
4108,"צ""ר",,['צינור רכש'],True
4109,"צר""מ",,['צוות רב־מקצועי'],True
4110,"צר""פ",,['ציוד רפואי'],True
4111,"צרש""ש",,[' ציוד לשגרה ולשהייה'],True
4112,"צ""ש",,['צוות שיפור'],True
4113,"צש""ף",,['צבא השחרור הפלסטיני'],True
4114,"צ""ת",,"['צוות תעופה;', 'ציר תנועה']",True
4115,"צת""ה",,"['ציון תכונות התנהגות ;', 'צוות תיאום הטסות']",True
4116,"צת""כ",,['צוער תורן כיתתי'],True
4117,"צת""ם",,['צוות תעופה ומנהלה'],True
4118,"צת""ת",,['ציוד תפעול תחזוקה 185'],True
4119,ק/,,['קידומת למספר האישי של חייל בשירות הקבע המשרת על־פי התחייבותו לשרת בצבא הקבע שנה אחת ומעלה'],True
4120,ק',,"['קצין, קצינה ] 9-1 אל תקצרו בנקודה: ק.; ראו גם ;]OFCR', 'קורס;', 'קשר ]ראו גם COMM או ;]KN, KT', 'קריה ;', 'קומה;', 'קומנדו;', 'קדמי ;', 'בית קברות;', 'קומינט ]ראו גם ]COMINT']",True
4121,"ק""א",,"['קו אפס;', 'קרקע־אוויר ]אל תקצרו בלוכסן ק/א; ראו גם ;]G/A', 'קרב אוויר קא""ב1 קצין אקדמאי בכיר קא""ב2 קרב־אוויר בודדים']",True
4122,"קא""ה",,['קצין ארגון הטסות'],True
4123,"קא""ז",,['קרב־אוויר זוגות'],True
4124,"קא""ם",,"['קרב־אימון מתקדמים;', 'קורס אימון מבצעי;', 'קצב אש מרבי;', 'קורס אימון מתקדם']",True
4125,"קאמ""ם",,['קורס אימון מבצעי מתקדם'],True
4126,"קאספ""ג",,['קצין־איסוף אוגדתי'],True
4127,"קאספ""ד",,['קצין־איסוף פיקודי'],True
4128,"קא""פ",,['קצין אפסנאות'],True
4129,ק,,['186'],True
4130,"קא""ת",,"['קצין איתור תעסוקה קב', 'קבוצה או קבוצתי;', 'קבילה']",True
4131,"ק""ב",,"['קילובייט ]ראו גם ;]KB', 'קצונה בכירה']",True
4132,"קבא""ט",,['קבוצת־איכות טכנית'],True
4133,"קב""ג",,['קבוצת גיוס'],True
4134,"קבד""ם",,['קצין ביקורת דין משמעתי'],True
4135,"קבה""ח",,['קבלת החלטות'],True
4136,"קבו""ם",,['קצין בקרה ומעקב'],True
4137,"קב""ח",,"['קצין־ בינוי חילי;', 'קצין־ביטחון חילי ;', 'קצין־ביקורת חילי ']",True
4138,"קב""ט",,"['קצין ביטחון ]שם המקום הנגזר מ\'קב""ט\': קב""טייה', 'קצין בקרה טקטי;', 'קצין בטיחות טיסה']",True
4139,"קבט""ח",,['קצין־ביטחון חטיבתי'],True
4140,"קבט""ט",,['קצין ביטחון טייסת'],True
4141,"קבט""ר",,['קצין האיכות והבטיחות הראשי'],True
4142,"קבי""ד",,['קצין בית־דין'],True
4143,"קבי""ח",,['קצין־ביטחון יחידתי'],True
4144,"קבי""ם",,['קצין בית־משפט '],True
4145,"קבי""ש",,['קצין בית־משפט '],True
4146,"קב""ם",,"['קצין ביטחון־מידע;', 'קבוצה מקצועית;', 'קבלן משנה']",True
4147,"קבמ""ש",,['קצין בית־משפט '],True
4148,"קבנ""א",,"['קב""ן אוגדתי ']",True
4149,"קבנ""פ",,"['קב""ן פיקודי']",True
4150,"קב""ס",,['קצין ביקור־סדיר'],True
4151,"קב""ץ",,['קצין ביצורים'],True
4152,"קבצ""ם",,['קצין ביקורת דין־משמעתי'],True
4153,"קבש""ח",,['קצין ביטחון־שדה חילי 187'],True
4154,"קב""ת",,"['קובץ ביטחון ותעבורה;', 'קצין בקרת תקיפה']",True
4155,"קג""כ",,['קילוגרם כוח'],True
4156,"קג""מ",,['קילוגרם מטר'],True
4157,"קג""ש",,['קילוגרם בשעה'],True
4158,"ק""ד",,['קו דיווח'],True
4159,"קד""א",,['קדם־אקדמי'],True
4160,"קדט""ה",,"['קטלניות, דיוק, טווח והשפעה']",True
4161,"קד""ם",,"['קבוצת דיון מוקדמת ;', 'קבוצת דיון מבצעי;', 'קטלוג דנטלי ממוחשב;', 'קידום דוברות מגוונת;', 'קשר דיגיטלי מסחרי ']",True
4162,"קדמ""א",,"['קירור, דלק, מים, אב""ך']",True
4163,"קד""ס",,['קדם־ספציפי'],True
4164,"קד""פ",,['קדם־פיתוח'],True
4165,"קד""ץ",,"['קדם־צבאי;', 'קורס קדם־צבאי']",True
4166,"ק""ה",,"['קילוהרץ ]ראו: קה""ץ; ראו גם ;]kHz', 'קופסת הפעלה ']",True
4167,"קה""א",,['קצין התנהגות אוכלוסייה '],True
4168,"קה""ג",,['קצין הגנה'],True
4169,"קהד""ר",,['קצין הדרכה ראשי'],True
4170,"קהו""ב",,['קצין הפעלה ובקרה'],True
4171,"קה""י",,['קרן היסוד'],True
4172,"קה""מ",,['קריית המודיעין'],True
4173,"קה""ן",,['קצין הנדסה '],True
4174,"קהנ""א",,['קצין הנדסה אוגדתי'],True
4175,"קהנ""ג",,['קצין הנדסה גיסי'],True
4176,"קהנ""ח",,['קצין הנדסה חטיבתי'],True
4177,"קהנ""ם",,"['קצין הגנת נו""ן־מ""ם']",True
4178,"קה""ס",,['קשיי הסתגלות '],True
4179,"קהס""א",,['קצין הספקה אוגדתי '],True
4180,"קה""ע",,['קצין העיר'],True
4181,"קה""ץ",,"['קריית ההדרכה הצה""לית ; קה""ץ 1 קצין הדרכת צד""ך )= ציון דירוג כללי קה""ץ 2 קילוהרץ']",True
4182,"קה""ק",,['קובץ הוראות קבע 188'],True
4183,"קה""ר",,['קצין הוראה'],True
4184,"קה""ת",,['קו התחלה'],True
4185,"ק""ו",,"['קילווט;', 'קל וחומר']",True
4186,"קו""א",,['קילווט אמפר  קואור קואורדינטה'],True
4187,"קוו""א",,['קילווט אמפר '],True
4188,"קו""ח",,['קרא וחתום'],True
4189,"קו""ט",,['קילווט'],True
4190,"קוט""ש",,['קילווט שעה '],True
4191,"קו""י",,"[""'קול ישראל' ""]",True
4192,"קו""כ",,"[""'הקו הכחול' ""]",True
4193,"קו""ל",,['קליטה ולוגיסטיקה'],True
4194,"קולי""ש",,"[""'קול ישראל' ""]",True
4195,"קו""ם",,['קרונות ומשגרים'],True
4196,"קומ""ם",,['קורס מערכתי מתקדם קונ קונוונציונלי ]בעברית: מוסכמי'],True
4197,"קו""ן",,"['קשר וניווט;', 'קצינים ונגדים']",True
4198,"קו""פ",,['קוד פעולה'],True
4199,"קו""צ",,['קופה ציבורית'],True
4200,"קו""ק",,['קצונה וקבע'],True
4201,"קו""ש",,['קילווט שעה '],True
4202,"ק""ז",,['קו זינוק'],True
4203,"קזת""א",,['קצין זיהוי תמונה אווירית '],True
4204,"ק""ח",,['קו חירום'],True
4205,"קחל""ר",,"['קצין החיל הראשי להגמ""ר ולהג""א ']",True
4206,"קח""ם",,['קשרי חוץ מדעיים'],True
4207,"קח""ן",,"['קשר, חוזי  ונתונים ']",True
4208,"קחנ""א",,"['קצינת ח""ן  אוגדתית ]הגו: קחנ""א; ראו: יוהל""ם']",True
4209,"קחנ""ח",,"['קצינת ח""ן  חילית  ראו: יוהל""ם']",True
4210,"קחנ""פ",,"['קצינת ח""ן  פיקודית ']",True
4211,"קחנ""ר",,"['קצינת הח""ן  הראשית ראו: יוהל""ם']",True
4212,"קח""פ",,['קצין חינוך פיקודי  189'],True
4213,"קח""ץ",,"['קוטל חרקים צה""לי']",True
4214,"קחצ""ק",,['קרן חיסכון לצבא הקבע'],True
4215,"קחצ""ר",,"['קצין החי""ר והצנחנים הראשי']",True
4216,"קח""ק",,"['קצין חקירות;', 'קצין חיל הקשר']",True
4217,"קחש""א",,['קצין חימוש אוגדתי '],True
4218,"קחת""ם",,['קצין תותחים נגד־מטוסים חילי ]יש ההוגים: קצין תותחי נון־מם חילי'],True
4219,"קחת""ר",,['קצין התחזוקה הראשי '],True
4220,"קטא""ג",,['קצין טכנולוגיה ואחזקה גדודי'],True
4221,"קט""ב",,['קצין טכני בכיר'],True
4222,"קטל""ם",,['קצין טלפונים מרחבי'],True
4223,"קט""ם",,"['קטלוג מאוחד;', 'קטלוג ממוחשב ']",True
4224,"קטמ""ם",,['קטלוג ממוחשב '],True
4225,"קטנ""א",,['קצין טכנולוגיה ואחזקה אוגדתי '],True
4226,"קטק""א",,['קצין טילים קרקע־אוויר '],True
4227,"ק""י",,['קנטינה יחידתית'],True
4228,"קידו""ם",,['קורסי יסוד ולימודים מתקדמים'],True
4229,"קידמ""א",,"['ראו: קדמ""א']",True
4230,"קידמ""ה",,"['קידום מערכת הפריט;', 'קישור, ייעוץ משפטי, דוברות, ממשל אזרחי']",True
4231,"קי""ץ",,"['קובץ יחידות צה""ל']",True
4232,"קכ""א",,['קצין כוח־אדם'],True
4233,"קכא""פ",,['קצין כוח־אדם פיקודי'],True
4234,"קכא""ר",,['קצין כוח־האדם הראשי'],True
4235,"קכ""ם",,"['קנים, כוונות, מכ""ם']",True
4236,"ק""ל",,['קצין לוגיסטיקה'],True
4237,"קל""א",,"['קצין לוחמה אלקטרונית ] 1-2 הגו: קל""א או קצין למד־אלף; ראו גם ;]EWO', 'קצין לוחמה אלקטרונית אוגדתי ראו: קלא""א ; יש ההוגים: קצין למד־אלף אוגדתי 190']",True
4238,"קלא""א",,['קצין לוחמה אלקטרונית אוגדתי ]יש ההוגים: קצין למד־אלף אוגדתי'],True
4239,"קלא""ג",,['קצין לוחמה אלקטרונית גיסי ]יש ההוגים: קצין למד־אלף גיסי'],True
4240,"קלא""פ",,['קצין לוחמה אלקטרונית פיקודי ]יש ההוגים: קצין למד־אלף פיקודי'],True
4241,"קל""ד",,"[""'קלע דוד' ]שמה של מערכת ליירוט רקטות, טילים לטווח בינוני־ארוך ומטוסים ללא טייס""]",True
4242,"קלו""ג",,['קצין לוגיסטיקה גיסי'],True
4243,"קל""י",,['קצין לוגיסטיקה יבשתי'],True
4244,"קל""ם",,['קצין לוגיסטיקה מחוזי'],True
4245,"קלמ""ד",,['קצין לימודים'],True
4246,"קלמ""ש",,['קילומטר לשעה '],True
4247,"קל""ע",,"['קליטת עלייה;', 'קבוצה לשיפור עצמי']",True
4248,"קל""ץ",,['קליעה וצליפה'],True
4249,"קל""ת",,['קצין לוגיסטיקת תקשוב'],True
4250,"קלת""ז",,['קולט נתזים'],True
4251,"ק""מ",,"['קשר מכ""ם;', 'קבע מובהק;', 'קילומטר']",True
4252,"קמ""ב",,"['קבוצת מחשב בליסטי;', 'קורס מ""כים בסיסי']",True
4253,"קמב""ל",,['קצין מודיעין בילוש'],True
4254,"קמב""צייה",,"[']מקום עבודתו של הקמב""ץ  ופקודיו בתוספת הסיומת ־יה 191']",True
4255,"קמב""ש",,['קילומטר בשעה'],True
4256,"קמ""ג",,"['קרב מגע;', 'הקריה למחקר גרעיני;', 'קורס מפקדי גדודים']",True
4257,"קמ""ד",,"['קורס מש""קי דוברות;', 'קו מוצרי דלק;', 'קורס מדריכות']",True
4258,"קמה""ק",,['קורס מפעילות האמר קרבי '],True
4259,"קמו""ד",,['קצין מודיעין '],True
4260,"קמ""ח",,"['קצין מרכז חישובים;', 'קצין מוסדות חינוך']",True
4261,"קמט""ט",,['קצין־מטה טכני'],True
4262,"קמ""י",,"['קצין מקור יומינט ] 1-2 הגו: קמ""י; \'יומינט\' בעברית: מודיעין ממקורות חיים', 'קרב מגן ישראלי ']",True
4263,"קמ""ך",,['קצין מיופה כוח'],True
4264,"קמ""כ",,"['קורס מ""כים']",True
4265,"קמל""א",,['קצין מילואים '],True
4266,"קמל""ש",,['קילומטר לשעה '],True
4267,"קמ""ם",,"['קובץ מלאי מרכזי;', 'קורס מערכתי מתקדם;', 'קורס מש""קי מודיעין;', 'קורס מש""קים מתקדם;', 'קורסים, מילואים ומשאבים;', 'קורס מכונאים מוטסים;', 'קורס מדריכים משולב']",True
4268,"קמנ""ג",,"['קמ""ן גדודי']",True
4269,"קמנ""ק",,['קצין מערכות נשק'],True
4270,"קמ""ס",,['קצין מקור סיגינט '],True
4271,"קמס""ס",,"['קורס מש""קי סיור סדיר']",True
4272,"קמ""ע",,['קניון מידע'],True
4273,"קמע""ג",,"['קצב, מהירות, עוצמה, גובה']",True
4274,"קמ""פ",,['קורס מפקדי פלוגות'],True
4275,"קמצ""א",,['קצין המשטרה הצבאית האוגדתי '],True
4276,"קמצ""ג",,['קצין המשטרה הצבאית הגיסי 192'],True
4277,"קמצ""פ",,['קצין המשטרה הצבאית הפיקודי'],True
4278,"קמ""ק",,"['קו מוצבים קדמי ]ראו גם ;]FEBA', ""קדסטר מבוסס קואורדינטות ]'קדסטר' בעברית: מרשם מקרקעין""]",True
4279,"קמ""ר",,"['קורס מים רדודים;', 'קילומטר רבוע']",True
4280,"קמש""א",,"['קצין משא""ן אוגדתי']",True
4281,"קמש""ג",,"['קצין משא""ן גדודי']",True
4282,"קמש""ח",,"['קצין משא""ן חטיבתי']",True
4283,"קמש""ם",,"['קצין משא""ן מחוזי']",True
4284,"קמש""פ",,"['קצין משא""ן פיקודי']",True
4285,"קמ""ת",,"['קורס מפקדות תקשוב;', 'קורס מפקדי תצפות']",True
4286,"ק""נ",,['קילוניוטון'],True
4287,"קנ""א",,"['קצין ניהול־אש ]הגו: קנ""א ; ראו גם ]FDO']",True
4288,"קנו""ת",,['קצין נשק ותחמושת'],True
4289,"קנ""י",,['קצין ניהול ידע'],True
4290,"קנ""כ",,['קצין ניהול כלואים'],True
4291,"קנ""ל",,['קצין ניהול'],True
4292,"קנ""מ",,['קנה מידה '],True
4293,"קנמ""ש",,['קצין ניהול מחוז־שיפוט'],True
4294,"קנ""ר",,['קצין נפה ורשויות'],True
4295,"קנ""ת",,['קצין ניהול ורשויות'],True
4296,"קס""א",,['קשר סיוע־אוויר '],True
4297,"קס""ג",,['הקו הסגול'],True
4298,"קס""ה",,['קצין סיוע הומניטרי'],True
4299,"קסו""ל",,['קצין סוללה'],True
4300,"קס""ח",,"['קצין סטי""לים חילי 193']",True
4301,"קס""ל",,['קצין סיוע לאוכלוסייה'],True
4302,"קסל""צ",,['קריאה סופית לצפון'],True
4303,"קס""ם",,"[""קשר וסימולציה ]'סימולציה' בעברית: הדמיה; הפועל: הדמה, להדמות"", 'קורלציה, סדנאות מצל""ח ]\'קורלציה\' בעברית: מתאם']",True
4304,"קס""ש",,['קילוסיביות לשנייה'],True
4305,"ק""ע",,"['קשר עין;', 'קצין עיר ;', 'קו עצירה;', 'קבוצת עבודה']",True
4306,"קע""א",,['קו עצירה אסטרטגי'],True
4307,"קע""ט",,['קצין עמדת טילים'],True
4308,"קע""ם",,"['הקהילייה הערבית המאוחדת ]הגו: קע""ם; ראו: רע""ם']",True
4309,"ק""פ",,"['קופסת פיקוד ;', 'קבוצת פקודות;', 'קצין פיקוח;', 'קלט־פלט;', 'קובץ פעולות;', 'קבלת פנים;', 'קופסת הפעלה ;', 'קשר־פנים;', 'קשר פנייה ']",True
4310,"קפא""פ",,['קרב פנים־אל־פנים '],True
4311,"קפ""ב",,['קבוצת פקודות בסיסית'],True
4312,"קפ""ה",,"['קצין פיתוח הדרכה ;', 'קורס פיקוד והדרכה']",True
4313,"קפ""ח",,"['קצין פיקוח חקירות;', 'קסדת פח']",True
4314,"קפ""כ",,['קבוצת פקודות כללית '],True
4315,"קפ""פ",,['קרב פנים־אל־פנים  194'],True
4316,"קפ""ק",,"['קבוצת פקודות;', 'קובץ פקודות הקבע;', 'קבלת פקודות']",True
4317,"קצא""א",,"['קו צינור אילת־אשקלון ;', 'קו צינור אירופה־אסיה']",True
4318,"קצ""ב",,['קשרי ציבור'],True
4319,"קצה""ע",,['קצין העיר '],True
4320,"קצ""ח",,['קצה חוט'],True
4321,"קצ""י",,['קצין ציוד־ייעודי '],True
4322,"קצ""ל",,['קשר צוללות'],True
4323,"קצ""ם",,['קצה מסלול'],True
4324,"קצמ""ח",,['קצין מחלקה'],True
4325,"קצמ""ל",,"['קצין מקצועי לוגיסטי;', 'קצין מערכת לוגיסטית']",True
4326,"קצמ""ש",,['קצין משמרת'],True
4327,"קצ""ן",,['קצין נייד'],True
4328,"קצנ""א",,['קצין הנוער הארצי '],True
4329,"קצנ""ג",,['קצין־נוער גדודי'],True
4330,"קצנ""ר",,['קצין הצנחנים הראשי '],True
4331,"קצנ""ש",,['קצין נשק'],True
4332,"קצ""ק",,['קצין ציוד־קשר'],True
4333,"קצר""פ",,['קצין ציוד־רפואי פיקודי'],True
4334,"קצר""ש",,['קיצור שירות'],True
4335,"קצת""כ",,['קצין תכנון'],True
4336,"ק""ק",,"['קרקע־קרקע;', 'קצין קישור ]ראו גם ;]LO ,LNO', 'קפיצת קנה ;', 'קדח הקנה;', 'קצין קורס']",True
4337,"קקא""ס",,['קורס קציני איסוף'],True
4338,"קק""ב",,['קורס קצינות בסיסי'],True
4339,"קק""ד",,['קורס קציני דוברות 195'],True
4340,"קק""ה",,['קורס קציני הנדסה '],True
